Territory,place,lon,lat
Homilsha,R1,36.33329,49.62554
Homilsha,R2,36.32946,49.62092
Homilsha,Fed1,36.32732,49.62298
Homilsha,Fed2,36.32863,49.61411
Homilsha,Fed3,36.33436,49.60477
Homilsha,F1,36.32396,49.61782
Homilsha,F2,36.32319,49.61169
Homilsha,F3,36.3199,49.60948
Homilsha,F4,36.31909,49.60782
Yaremivka,F2,37.403889,49.111389
Yaremivka,R3,37.414167,49.108333
Yaremivka,L1,37.404167,49.105833
Yaremivka,R1,37.41,49.101111
Yaremivka,R2,37.413333,49.106944
Yaremivka,L3,37.401944,49.100278
Yaremivka,F3,37.408333,49.107222
Chornobyl,R1,29.615500,51.394740
Chornobyl,Fr1,29.597950,51.389530
Chornobyl,Fr2,29.602411,51.376208
Chornobyl,R3a,29.625703,51.371823
Chornobyl,R3b,29.625703,51.371823
Chornobyl,FO2,29.624730,51.382070
Chornobyl,F3,29.617430,51.387850
Chornobyl,F2,29.627760,51.388080
Smolensk,Fed2,31.948333,55.503889
Smolensk,F1,31.984722,55.513611
Smolensk,F2,31.958056,55.507222
Smolensk,F3,31.796944,55.511667
Smolensk,L1,31.987778,55.506944
Smolensk,L2,31.981111,55.511111
Smolensk,L3,31.945278,55.507778
Smolensk,Fed3,31.998333,55.509444
Bryansk,Fed1,33.857757,52.447026
Bryansk,R2,33.85955,52.45609
Bryansk,R1,33.863261,52.452013
Bryansk,F3,33.872518,52.437975
Bryansk,R3,33.84951,52.46293
Bryansk,S1,33.89306,52.45249
Bryansk,F5,33.847788,52.448821
Bryansk,F4,33.85561,52.4488
Bryansk,S2,33.89373,52.45217
Bryansk,R3,33.84951,52.46293
